-0.512,0.539,0.548,-6.832,30.439,19.581
-0.559,0.534,0.545,-6.466,14.823,18.422
-0.608,0.528,0.539,-7.259,0.549,17.507
-0.664,0.527,0.554,-7.625,-10.614,18.239
-0.708,0.531,0.587,-7.381,-16.958,21.167
-0.704,0.545,0.62,-6.222,-20.557,25.437
-0.701,0.544,0.655,-4.819,-22.875,27.755
-0.71,0.525,0.697,-4.331,-23.302,27.938
-0.715,0.511,0.727,-3.599,-24.217,26.047
-0.708,0.482,0.745,-2.806,-26.413,23.241
-0.684,0.455,0.761,-0.732,-24.827,19.398
-0.657,0.446,0.767,2.623,-16.653,16.348
-0.676,0.447,0.757,6.832,-6.893,14.03
-0.695,0.445,0.772,12.017,-1.159,10.797
-0.693,0.431,0.792,17.019,0.0,7.93
-0.704,0.421,0.807,23.302,0.793,6.893
-0.711,0.425,0.825,29.524,3.965,5.368
-0.701,0.457,0.811,35.258,11.041,2.196
-0.65,0.499,0.768,37.393,23.729,1.22
-0.556,0.532,0.743,37.637,43.615,2.501
-0.505,0.552,0.751,36.844,68.869,4.636
-0.517,0.569,0.74,34.526,97.6,5.734
-0.583,0.589,0.69,33.245,116.876,2.44
-0.617,0.582,0.621,35.929,120.048,0.549
-0.583,0.596,0.544,37.515,112.606,0.488
-0.556,0.614,0.49,38.003,96.929,-0.122
-0.547,0.636,0.45,38.308,71.309,-2.745
-0.514,0.664,0.443,35.807,38.857,-5.978
-0.447,0.693,0.426,28.975,9.577,-10.004
-0.408,0.686,0.426,21.899,-9.699,-15.189
-0.363,0.662,0.429,16.104,-16.958,-18.91
-0.317,0.671,0.449,12.627,-19.398,-22.387
-0.298,0.682,0.48,10.187,-18.178,-25.315
-0.322,0.673,0.506,7.137,-17.08,-27.45
-0.366,0.665,0.534,3.66,-22.204,-28.365
-0.436,0.632,0.56,-1.464,-38.247,-29.402
-0.518,0.601,0.567,-6.893,-69.113,-31.537
-0.578,0.592,0.549,-10.004,-114.436,-33.794
-0.588,0.581,0.515,-10.553,-166.896,-34.953
-0.555,0.58,0.482,-11.102,-219.722,-35.868
-0.475,0.584,0.457,-12.749,-258.579,-33.733
-0.349,0.588,0.45,-16.409,-269.986,-26.23
-0.2,0.59,0.476,-20.435,-254.614,-18.483
-0.073,0.597,0.525,-20.252,-218.258,-16.531
-0.014,0.584,0.575,-19.276,-164.944,-15.555
-0.027,0.564,0.595,-19.764,-103.456,-12.993
-0.059,0.553,0.598,-19.154,-44.652,-10.614
-0.125,0.534,0.602,-17.507,1.83,-7.381
-0.236,0.521,0.616,-16.47,32.452,-2.013
-0.327,0.515,0.648,-16.409,51.362,2.928
-0.348,0.529,0.667,-16.592,63.501,6.649
-0.32,0.543,0.68,-17.629,71.553,8.906
-0.289,0.539,0.689,-18.971,79.666,9.455
-0.314,0.528,0.662,-19.459,88.389,8.845
-0.383,0.531,0.61,-19.703,96.502,9.882
